Wavelength [nm], Irradiance
8.417579609916398340e+02,1.706969779805059817e-01
8.416719437418624921e+02,1.679226114948531301e-01
8.415858004706747124e+02,1.679266914455673498e-01
8.414995312447683773e+02,1.715782473347721993e-01
8.414131361308353689e+02,1.717251255604832216e-01
8.413266151955673422e+02,1.713416101933488700e-01
8.412399685056564067e+02,1.718108045254813365e-01
8.411531961277941036e+02,1.752542829282622283e-01
8.410662981286724289e+02,1.690772375469704325e-01
8.409792745749832648e+02,1.716353666447709425e-01
8.408921255334182661e+02,1.704358611347975005e-01
8.408048510706694287e+02,1.694485130619622082e-01
8.407174512534285213e+02,1.694117935055344526e-01
8.406299261483873124e+02,1.705664195576517550e-01
8.405422758222376842e+02,1.696443506962435899e-01
8.404545003416715190e+02,1.679144515934247461e-01
8.403665997733805852e+02,1.696484306469577819e-01
8.402785741840567653e+02,1.716027270390573789e-01
8.401904236403918276e+02,1.698157086262397919e-01
8.401021482090776544e+02,1.691629165119685474e-01
8.400137479568061281e+02,1.692200358219672629e-01
8.399252229502689033e+02,1.705500997547949593e-01
8.398365732561579762e+02,1.706765782269350218e-01
8.397477989411651151e+02,1.694362732098196322e-01
8.396589000719820888e+02,1.720964010754749973e-01
8.395698767153008930e+02,1.699952264576643779e-01
8.394807289378131827e+02,1.693138746883937618e-01
8.393914568062109538e+02,1.704154613812265129e-01
8.393020603871859748e+02,1.701992239933741713e-01
8.392125397474300144e+02,1.694689128155331959e-01
8.391228949536349546e+02,1.679674909527092974e-01
8.390331260724925642e+02,1.694485130619622082e-01
8.389432331706948389e+02,1.729939902325979828e-01
8.388532163149334338e+02,1.685346041019824548e-01
8.387630755719002309e+02,1.704154613812265129e-01
8.386728110082871126e+02,1.728511919576011524e-01
8.385824226907859611e+02,1.681225290798487038e-01
8.384919106860884312e+02,1.707336975369337650e-01
8.384012750608865190e+02,1.686284429684089536e-01
8.383105158818719929e+02,1.681021293262777438e-01
8.382196332157366214e+02,1.710274539883558098e-01
8.381286271291722869e+02,1.682898070591307138e-01
8.380374976888708716e+02,1.699911465069501859e-01
8.379462449615241439e+02,1.675594958812897661e-01
8.378548690138239863e+02,1.689589189762587540e-01
8.377633699124621671e+02,1.678450924312834269e-01
8.376717477241305687e+02,1.680531699177073846e-01
8.375800025155210733e+02,1.720882411740466134e-01
